Role_Group_Encoded,Experience_Encoded,PythonRequired_scaled,LinuxRequired_scaled,NetworkingRequired_scaled,AWSRequired_scaled,AzureRequired_scaled,DockerRequired_scaled,KubernetesRequired_scaled,TerraformRequired_scaled,CyberSecurityRequired_scaled,CommunicationRequired_scaled,SalaryLPA_capped_scaled
4,1,-0.5163531246528473,0.7533279411105268,0.5680697614877523,0.8418805822538873,0.1911713517835021,0.3649903509623667,0.9358762210123122,-0.0538040573036334,1.3331259618858473,0.5162965089884657,1.7776838750750097
0,1,0.4193586150495501,1.403568900805929,0.5680697614877523,0.2157199677884111,1.1412350394348465,1.0413566510508203,-0.322186895758337,0.6249548194498981,0.9650575144964888,0.5162965089884657,0.0724761665927298
0,1,-0.0484972548016485,-0.5471539782802777,0.5680697614877523,0.5288002750211492,-0.1255165441002792,0.0268072009181398,-0.0076711165656746,-0.0538040573036334,0.9650575144964888,0.5162965089884657,1.6352440903569194
4,1,1.3550703547519476,0.1030869814151245,1.3575904469453062,0.8418805822538873,-0.1255165441002792,0.0268072009181398,0.3068446626269875,0.6249548194498981,0.5969890671071303,-1.2852487564180954,1.5579196357956706
4,1,-0.0484972548016485,-1.19739493797568,-1.0109716094273555,0.5288002750211492,0.8245471435510648,0.7031735010065936,1.2503920002049744,1.3037136962034297,1.7011944092752058,-1.2852487564180954,1.3585039371903442
4,1,0.4193586150495501,-1.19739493797568,1.3575904469453062,-1.3496815683752792,-1.3922681276354048,-1.3259253992587676,-1.580250012528986,-1.4113218108106966,2.0692628566645643,0.5162965089884657,-0.362982603831146
4,1,-0.984208994504046,-1.19739493797568,0.5680697614877523,-1.3496815683752792,-1.3922681276354048,-1.6641085493029943,-1.580250012528986,-1.4113218108106966,2.0692628566645643,0.5162965089884657,-0.8106504986594293
4,1,-1.4520648643552447,-1.19739493797568,0.5680697614877523,-1.6627618756080174,-1.3922681276354048,-1.6641085493029943,-1.580250012528986,-1.4113218108106966,2.0692628566645643,0.5162965089884657,-0.9123932020294936
1,1,0.4193586150495501,0.7533279411105268,-0.2214509239698015,0.8418805822538873,0.8245471435510648,0.7031735010065936,0.6213604418196499,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.1050338316711504
1,1,0.4193586150495501,0.7533279411105268,-0.2214509239698015,0.8418805822538873,0.8245471435510648,0.7031735010065936,0.6213604418196499,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.3085192384112793
1,1,0.4193586150495501,0.7533279411105268,-0.2214509239698015,0.8418805822538873,0.8245471435510648,0.7031735010065936,0.6213604418196499,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.3085192384112793
1,1,0.4193586150495501,0.7533279411105268,-0.2214509239698015,1.1549608894866257,0.5078592476672835,0.7031735010065936,0.6213604418196499,0.9643342578266638,-0.5072162750609452,0.5162965089884657,-0.3019369818091072
1,1,0.4193586150495501,0.7533279411105268,0.5680697614877523,0.8418805822538873,0.8245471435510648,1.0413566510508203,0.6213604418196499,0.9643342578266638,-0.5072162750609452,0.5162965089884657,-0.0984515750689783
4,1,-2.3877766040576422,-3.7983587767572886,-1.8004922948849094,-1.6627618756080174,-1.3922681276354048,-1.6641085493029943,-1.580250012528986,-1.4113218108106966,1.7011944092752058,0.5162965089884657,-1.1158786087696226
1,1,0.4193586150495501,0.1030869814151245,0.5680697614877523,1.1549608894866257,0.5078592476672835,-0.6495590991703138,-1.2657342333363235,-1.0719423724339308,0.9650575144964888,-0.3844761237148148,-0.9123932020294936
1,1,0.4193586150495501,0.1030869814151245,-1.0109716094273555,0.2157199677884111,0.5078592476672835,-0.3113759491260869,-0.322186895758337,-0.3931834956803993,-0.1391478276715867,-0.3844761237148148,0.1986371187716099
1,1,-1.9199207342064435,0.7533279411105268,0.5680697614877523,0.2157199677884111,-1.3922681276354048,1.0413566510508203,-1.2657342333363235,-1.4113218108106966,0.9650575144964888,-0.3844761237148148,-0.8309990393334421
0,1,0.8872144849007488,-0.5471539782802777,-0.2214509239698015,0.8418805822538873,-1.3922681276354048,-1.6641085493029943,-1.580250012528986,-1.4113218108106966,-0.1391478276715867,-0.3844761237148148,-0.8106504986594293
1,3,-1.9199207342064435,0.7533279411105268,1.3575904469453062,0.5288002750211492,0.5078592476672835,0.7031735010065936,-0.0076711165656746,-0.0538040573036334,0.9650575144964888,0.5162965089884657,-1.1565756901176485
1,3,-1.4520648643552447,0.1030869814151245,-0.2214509239698015,0.8418805822538873,-1.3922681276354048,0.0268072009181398,0.6213604418196499,1.3037136962034297,0.5969890671071303,0.5162965089884657,-0.505422388549236
4,1,-1.4520648643552447,-1.847635897671082,-0.2214509239698015,-1.6627618756080174,-1.3922681276354048,-1.6641085493029943,-1.580250012528986,-1.4113218108106966,1.7011944092752058,-0.3844761237148148,-0.8106504986594293
4,2,-1.9199207342064435,-1.19739493797568,0.5680697614877523,-1.6627618756080174,-1.3922681276354048,-1.6641085493029943,-1.580250012528986,-1.4113218108106966,1.7011944092752058,0.5162965089884657,-1.0141359053995582
4,1,-0.0484972548016485,-0.5471539782802777,0.5680697614877523,-1.6627618756080174,-1.3922681276354048,-1.6641085493029943,-1.580250012528986,-1.4113218108106966,2.0692628566645643,0.5162965089884657,-0.3019369818091072
0,3,-0.0484972548016485,-0.5471539782802777,0.5680697614877523,0.2157199677884111,-0.1255165441002792,-1.3259253992587676,-1.2657342333363235,-1.4113218108106966,-0.8752847224503036,0.5162965089884657,-0.7089077952893649
1,1,-0.5163531246528473,0.1030869814151245,0.5680697614877523,0.5288002750211492,-0.1255165441002792,0.3649903509623667,0.6213604418196499,0.2855753810731323,-0.5072162750609452,0.5162965089884657,-0.7089077952893649
1,1,-0.5163531246528473,0.1030869814151245,0.5680697614877523,0.2157199677884111,-0.4422044399840606,-0.3113759491260869,-0.6367026749509992,-0.7325629340571651,-0.8752847224503036,0.5162965089884657,-0.4036796851791716
1,4,0.4193586150495501,0.1030869814151245,-0.2214509239698015,0.2157199677884111,0.5078592476672835,-1.3259253992587676,-1.580250012528986,-1.4113218108106966,0.2289206197177717,0.5162965089884657,-1.1667499604546547
0,3,-1.4520648643552447,-0.5471539782802777,0.5680697614877523,0.5288002750211492,0.8245471435510648,-1.3259253992587676,-1.580250012528986,-1.0719423724339308,0.5969890671071303,-0.3844761237148148,-0.7089077952893649
1,2,0.4193586150495501,0.7533279411105268,0.5680697614877523,0.5288002750211492,0.8245471435510648,0.7031735010065936,0.3068446626269875,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.6137473485214726
5,2,0.4193586150495501,0.7533279411105268,1.3575904469453062,0.5288002750211492,0.8245471435510648,0.7031735010065936,0.6213604418196499,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.6137473485214726
1,2,0.4193586150495501,0.7533279411105268,0.5680697614877523,0.5288002750211492,0.8245471435510648,0.7031735010065936,0.3068446626269875,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.6137473485214726
5,2,0.4193586150495501,0.7533279411105268,1.3575904469453062,0.5288002750211492,0.8245471435510648,0.7031735010065936,0.6213604418196499,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.6137473485214726
1,2,0.4193586150495501,0.7533279411105268,0.5680697614877523,0.5288002750211492,0.8245471435510648,0.7031735010065936,0.3068446626269875,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.6137473485214726
5,2,0.4193586150495501,0.7533279411105268,1.3575904469453062,0.5288002750211492,0.8245471435510648,0.7031735010065936,0.6213604418196499,0.6249548194498981,-0.5072162750609452,0.5162965089884657,0.6137473485214726
